sample_name,specimen_id,campaign_id,series_id,n_steel_mesh,week,ageing_days,ultimate_load_kn,terminal_ultimate_load_kn_target,baseline_predicted_ultimate_load_kn,baseline_predicted_ultimate_load_kn_std,prediction_count,is_measured_ultimate_load,baseline_residual,baseline_abs_error,refined_predicted_ultimate_load_kn,refined_predicted_ultimate_load_kn_std,refined_abs_error,refined_residual,delta_abs_error,delta_prediction,specimen_label,specimen_change_status
D01,D01,campaign_2,D,4,36,252,1.89,1.89,1.7878527810623424,0.004950048501541801,2,True,-0.10214721893765755,0.10214721893765755,1.7878527810623424,0.004950048501541801,0.10214721893765755,-0.10214721893765755,0.0,0.0,D01 | mesh 4 | actual 1.89 kN,no_meaningful_change
G04,G04,campaign_2,G,4,36,252,2.21,2.21,2.051932452824219,0.027495546358759167,2,True,-0.1580675471757811,0.1580675471757811,2.051932452824219,0.027495546358759167,0.1580675471757811,-0.1580675471757811,0.0,0.0,G04 | mesh 4 | actual 2.21 kN,no_meaningful_change
G05,G05,campaign_2,G,4,36,252,2.16,2.16,2.002890722975265,0.005867323179585459,2,True,-0.15710927702473532,0.15710927702473532,2.002890722975265,0.005867323179585459,0.15710927702473532,-0.15710927702473532,0.0,0.0,G05 | mesh 4 | actual 2.16 kN,no_meaningful_change
G06,G06,campaign_2,G,4,36,252,1.97,1.97,1.9990044427608638,0.018999753456654788,2,True,0.02900444276086378,0.02900444276086378,1.9990044427608638,0.018999753456654788,0.02900444276086378,0.02900444276086378,0.0,0.0,G06 | mesh 4 | actual 1.97 kN,no_meaningful_change
S1MI01,S1MI01,campaign_1,S1,7,28,196,2.38,2.38,2.4241709652334507,0.07000217648504481,2,True,0.044170965233450765,0.044170965233450765,2.4241709652334507,0.07000217648504481,0.044170965233450765,0.044170965233450765,0.0,0.0,S1MI01 | mesh 7 | actual 2.38 kN,no_meaningful_change
S1MI02,S1MI02,campaign_1,S1,7,28,196,2.43,2.43,2.3460939268553274,0.0020347823559047377,2,True,-0.0839060731446728,0.0839060731446728,2.3460939268553274,0.0020347823559047377,0.0839060731446728,-0.0839060731446728,0.0,0.0,S1MI02 | mesh 7 | actual 2.43 kN,no_meaningful_change
S1MI03,S1MI03,campaign_1,S1,7,28,196,2.54,2.54,2.339958415108517,0.04551456276635868,2,True,-0.20004158489148294,0.20004158489148294,2.339958415108517,0.04551456276635868,0.20004158489148294,-0.20004158489148294,0.0,0.0,S1MI03 | mesh 7 | actual 2.54 kN,no_meaningful_change
S1MI04,S1MI04,campaign_1,S1,7,28,196,2.38,2.38,2.403021462868322,0.0022222362756708705,2,True,0.023021462868322295,0.023021462868322295,2.403021462868322,0.0022222362756708705,0.023021462868322295,0.023021462868322295,0.0,0.0,S1MI04 | mesh 7 | actual 2.38 kN,no_meaningful_change
S1MI05,S1MI05,campaign_1,S1,7,28,196,2.35,2.35,2.3335847983560725,0.032785386255412115,2,True,-0.016415201643927624,0.016415201643927624,2.3335847983560725,0.032785386255412115,0.016415201643927624,-0.016415201643927624,0.0,0.0,S1MI05 | mesh 7 | actual 2.35 kN,no_meaningful_change
S1MI06,S1MI06,campaign_1,S1,7,28,196,2.33,2.33,2.3884469562081447,0.05297161351866341,2,True,0.05844695620814466,0.05844695620814466,2.3884469562081447,0.05297161351866341,0.05844695620814466,0.05844695620814466,0.0,0.0,S1MI06 | mesh 7 | actual 2.33 kN,no_meaningful_change
S1MI07,S1MI07,campaign_1,S1,7,28,196,2.1,2.1,2.3985184904214023,0.03983786266975011,2,True,0.2985184904214022,0.2985184904214022,2.3985184904214023,0.03983786266975011,0.2985184904214022,0.2985184904214022,0.0,0.0,S1MI07 | mesh 7 | actual 2.10 kN,no_meaningful_change
