sample_name,specimen_id,n_steel_mesh_raw,treatment_raw,treatment_label_raw,ageing_days,surface_total_rust_pct,surface_total_rust_category,peak_rust_pct,peak_rust_category,peak_rust_location_cm,cover_mm_raw,wire_area_loss_raw,ultimate_load_kn
F01-20240110-0W,F01,4,SA,SA,0,0.0,1,0.001,1,1.51,7.31,,
F01-20240124-2W,F01,4,SA,SA,14,0.0,1,0.0,1,1.51,7.31,,
F01-20240207-4W,F01,4,SA,SA,28,0.001,1,0.007,1,9.0,7.31,,
F01-20240221-6W,F01,4,SA,SA,42,0.0,1,0.0,1,1.51,7.31,,
F01-20240306-8W,F01,4,SA,SA,56,0.0,1,0.0,1,1.51,7.31,,
F01-20240320-10W,F01,4,SA,SA,70,0.106,1,0.838,1,1.51,7.31,,
F01-20240405-12W,F01,4,SA,SA,84,0.027,1,0.212,1,1.51,7.31,,
F01-20240417-14W,F01,4,SA,SA,98,0.317,1,1.637,1,1.51,7.31,,
F01-20240508-17W,F01,4,SA,SA,119,0.12,1,0.372,1,21.49,7.31,,
F01-20240522-19W,F01,4,SA,SA,133,0.706,1,2.917,1,4.0,7.31,,
F01-20240529-20W,F01,4,SA,SA,140,0.129,1,0.527,1,4.0,7.31,,
F01-20240619-23W,F01,4,SA,SA,161,0.873,1,3.361,1,4.0,7.31,,
F01-20240626-24W,F01,4,SA,SA,168,1.008,1,4.02,1,4.0,7.31,,
F01-20240710-26W,F01,4,SA,SA,182,0.9,1,2.84,1,13.99,7.31,,
F01-20240724-28W,F01,4,SA,SA,196,3.231,1,8.973,2,13.99,7.31,,
F01-20240807-30W,F01,4,SA,SA,210,1.697,1,7.588,2,13.99,7.31,,
F01-20240902-33W,F01,4,SA,SA,231,1.648,1,5.635,2,13.99,7.31,,
F01-20240918-36W,F01,4,SA,SA,252,1.132,1,3.51,1,4.0,7.31,0.2084,1.9
F02-20240110-0W,F02,4,SA,SA,0,0.0,1,0.0,1,1.51,7.99,,
F02-20240124-2W,F02,4,SA,SA,14,0.0,1,0.0,1,1.51,7.99,,
F02-20240207-4W,F02,4,SA,SA,28,0.0,1,0.0,1,1.51,7.99,,
F02-20240221-6W,F02,4,SA,SA,42,0.0,1,0.0,1,1.51,7.99,,
F02-20240306-8W,F02,4,SA,SA,56,0.027,1,0.219,1,1.51,7.99,,
F02-20240320-10W,F02,4,SA,SA,70,0.059,1,0.475,1,1.51,7.99,,
F02-20240405-12W,F02,4,SA,SA,84,0.152,1,1.21,1,1.51,7.99,,
F02-20240417-14W,F02,4,SA,SA,98,0.205,1,1.516,1,1.51,7.99,,
F02-20240508-17W,F02,4,SA,SA,119,0.636,1,3.161,1,18.99,7.99,,
F02-20240522-19W,F02,4,SA,SA,133,1.627,1,9.339,2,1.51,7.99,,
F02-20240529-20W,F02,4,SA,SA,140,0.3,1,1.02,1,1.51,7.99,,
F02-20240619-23W,F02,4,SA,SA,161,3.719,1,24.363,4,1.51,7.99,,
F02-20240626-24W,F02,4,SA,SA,168,4.85,1,28.628,4,1.51,7.99,,
F02-20240710-26W,F02,4,SA,SA,182,6.675,2,42.444,4,1.51,7.99,,
F02-20240724-28W,F02,4,SA,SA,196,6.941,2,39.051,4,1.51,7.99,,
F02-20240807-30W,F02,4,SA,SA,210,4.151,1,21.391,3,1.51,7.99,,
F02-20240902-33W,F02,4,SA,SA,231,5.736,2,37.556,4,1.51,7.99,,
F02-20240918-36W,F02,4,SA,SA,252,3.389,1,22.551,4,1.51,7.99,0.4723,1.71
F03-20240110-0W,F03,4,SA,SA,0,0.037,1,0.125,1,13.99,6.95,,
F03-20240124-2W,F03,4,SA,SA,14,0.0,1,0.0,1,1.51,6.95,,
F03-20240207-4W,F03,4,SA,SA,28,0.035,1,0.106,1,11.5,6.95,,
F03-20240221-6W,F03,4,SA,SA,42,0.041,1,0.123,1,6.5,6.95,,
F03-20240306-8W,F03,4,SA,SA,56,1.882,1,5.258,2,6.5,6.95,,
F03-20240320-10W,F03,4,SA,SA,70,2.883,1,5.984,2,6.5,6.95,,
F03-20240405-12W,F03,4,SA,SA,84,3.877,1,9.071,2,6.5,6.95,,
F03-20240417-14W,F03,4,SA,SA,98,4.413,1,11.227,2,6.5,6.95,,
F03-20240508-17W,F03,4,SA,SA,119,4.708,1,11.102,2,6.5,6.95,,
F03-20240522-19W,F03,4,SA,SA,133,3.589,1,10.313,2,4.0,6.95,,
F03-20240529-20W,F03,4,SA,SA,140,4.948,1,11.967,2,6.5,6.95,,
F03-20240619-23W,F03,4,SA,SA,161,4.186,1,9.308,2,6.5,6.95,,
F03-20240626-24W,F03,4,SA,SA,168,7.125,2,14.751,3,6.5,6.95,,
F03-20240710-26W,F03,4,SA,SA,182,6.694,2,13.682,3,1.51,6.95,,
F03-20240724-28W,F03,4,SA,SA,196,5.853,2,12.665,3,6.5,6.95,,
F03-20240807-30W,F03,4,SA,SA,210,5.033,2,9.156,2,6.5,6.95,,
F03-20240902-33W,F03,4,SA,SA,231,6.464,2,13.455,3,6.5,6.95,,
F03-20240918-36W,F03,4,SA,SA,252,4.206,1,10.467,2,6.5,6.95,0.4237,2.39
F04-20240110-0W,F04,4,SA,SA,0,0.037,1,0.0,1,1.51,5.76,,
F04-20240124-2W,F04,4,SA,SA,14,0.048,1,0.0,1,1.51,5.76,,
F04-20240207-4W,F04,4,SA,SA,28,0.122,1,0.339,1,21.49,5.76,,
F04-20240221-6W,F04,4,SA,SA,42,0.001,1,0.005,1,21.49,5.76,,
F04-20240306-8W,F04,4,SA,SA,56,0.698,1,1.545,1,21.49,5.76,,
F04-20240320-10W,F04,4,SA,SA,70,5.076,2,13.257,3,21.49,5.76,,
F04-20240405-12W,F04,4,SA,SA,84,6.984,2,14.879,3,21.49,5.76,,
F04-20240417-14W,F04,4,SA,SA,98,9.464,2,20.133,3,21.49,5.76,,
F04-20240508-17W,F04,4,SA,SA,119,8.983,2,16.91,3,21.49,5.76,,
F04-20240522-19W,F04,4,SA,SA,133,6.765,2,14.311,3,21.49,5.76,,
F04-20240529-20W,F04,4,SA,SA,140,7.543,2,16.016,3,21.49,5.76,,
F04-20240619-23W,F04,4,SA,SA,161,9.828,2,23.034,4,21.49,5.76,,
F04-20240626-24W,F04,4,SA,SA,168,11.835,2,22.407,4,21.49,5.76,,
F04-20240710-26W,F04,4,SA,SA,182,10.881,2,18.903,3,9.0,5.76,,
F04-20240724-28W,F04,4,SA,SA,196,12.656,2,27.716,4,21.49,5.76,,
F04-20240807-30W,F04,4,SA,SA,210,10.801,2,22.824,4,21.49,5.76,,
F04-20240902-33W,F04,4,SA,SA,231,9.888,2,17.404,3,21.49,5.76,,
F04-20240918-36W,F04,4,SA,SA,252,7.361,2,12.627,3,21.49,5.76,0.1962,2.01
F05-20240110-0W,F05,4,SA,SA,0,0.002,1,0.008,1,18.99,6.41,,
F05-20240124-2W,F05,4,SA,SA,14,0.001,1,0.007,1,13.99,6.41,,
F05-20240207-4W,F05,4,SA,SA,28,0.165,1,0.734,1,13.99,6.41,,
F05-20240221-6W,F05,4,SA,SA,42,0.133,1,0.284,1,13.99,6.41,,
F05-20240306-8W,F05,4,SA,SA,56,1.396,1,3.103,1,11.5,6.41,,
F05-20240320-10W,F05,4,SA,SA,70,3.461,1,7.105,2,13.99,6.41,,
F05-20240405-12W,F05,4,SA,SA,84,4.514,1,10.376,2,11.5,6.41,,
F05-20240417-14W,F05,4,SA,SA,98,4.075,1,8.927,2,13.99,6.41,,
F05-20240508-17W,F05,4,SA,SA,119,4.799,1,11.458,2,13.99,6.41,,
F05-20240522-19W,F05,4,SA,SA,133,6.271,2,13.78,3,13.99,6.41,,
F05-20240529-20W,F05,4,SA,SA,140,2.497,1,5.372,2,13.99,6.41,,
F05-20240619-23W,F05,4,SA,SA,161,5.362,2,11.297,2,13.99,6.41,,
