target,feature_set_name,model_name,target_transform,n_features,mae_mean_group_shuffle,mae_mean_leave_one_campaign_out,mae_mean_leave_one_treatment_out,r2_mean_group_shuffle,r2_mean_leave_one_campaign_out,r2_mean_leave_one_treatment_out,rmse_mean_group_shuffle,rmse_mean_leave_one_campaign_out,rmse_mean_leave_one_treatment_out,spearman_mean_group_shuffle,spearman_mean_leave_one_campaign_out,spearman_mean_leave_one_treatment_out,mae_rank_group_shuffle,mae_rank_leave_one_treatment_out,mae_rank_leave_one_campaign_out,spearman_rank_group_shuffle,robustness_score,selected_for_deployment
ultimate_load_kn,all_cleaned,CatBoost,none,42,0.17659557518025207,0.6761641554435595,0.217202821013672,0.6059264688359393,-9.903833624691945,-6.758487859772397,0.20631583288137553,0.7086065733274483,0.25608740223150517,0.7487200794332609,0.18818911370343394,-0.14974861227169373,3.0,7.0,6.0,5.0,5.550000000000001,False
ultimate_load_kn,all_cleaned,XGBoost,none,42,0.19225318250656126,0.648555966715018,0.2049283352352324,0.456296194639469,-9.500784271650916,-4.529577107575925,0.23074413180990527,0.6954155435864936,0.24752166666311856,0.7196734488452188,0.11599671367364466,0.011039286045880756,9.0,2.0,5.0,11.0,5.65,False
ultimate_load_kn,metadata_only,XGBoost,none,8,0.19337109212875364,0.4866886293888092,0.24282556142756548,0.34062168994050507,-5.172542527294224,-7.257223897444756,0.2341303450684225,0.5304797051026191,0.28838864262325115,0.8201014065720639,0.00798923398731835,0.07823255556699972,10.0,11.0,2.0,1.0,5.75,False
ultimate_load_kn,metadata_only,GradientBoosting,none,8,0.19615995524558696,0.482913496049189,0.24443764802682366,0.3123425879187678,-4.934058559457349,-5.712254727253701,0.2395141292962283,0.5198541490247499,0.28353148559380315,0.7958064708102859,0.26787758172941084,-0.12135642135642133,11.0,12.0,1.0,2.0,5.8500000000000005,False
ultimate_load_kn,metadata_only,CatBoost,none,8,0.20155017331870764,0.5171619222554408,0.2216435080666341,0.2773032248218522,-5.81767942778453,-5.185204511287705,0.2444682511841339,0.558588555627263,0.26278979759480925,0.7946127989743592,0.25925948864360027,0.09995972937818282,12.0,9.0,3.0,3.0,6.3,False
ultimate_load_kn,all_cleaned,RandomForest,none,42,0.17757688787878845,0.6934484733245169,0.20504762844335256,0.5934746061897704,-10.542161400041696,-4.756558357892377,0.20536854050075698,0.7273095111805571,0.24565142758857497,0.7269240368665126,0.2317326241711337,-0.19994434366301883,4.0,4.0,8.0,9.0,6.300000000000001,False
ultimate_load_kn,image_time_only,RandomForest,none,35,0.17578331697931754,0.6994114715608483,0.20594695142563196,0.5977010877677695,-10.735386818769179,-5.224725808045843,0.2047690578698813,0.7335357169383381,0.2474627003416067,0.7366431458149159,0.23521116735827335,-0.03674186510120937,2.0,5.0,9.0,7.0,6.3999999999999995,False
ultimate_load_kn,image_time_only,GradientBoosting,none,35,0.17979650922509371,0.7077071144858119,0.2049301188704122,0.4687547647932576,-11.753056216805037,-5.586972073046187,0.22606424233064532,0.7631846520655847,0.2535149475571076,0.7390673882391583,0.08680413880195648,0.01037311665444148,5.0,3.0,10.0,6.0,6.85,False
ultimate_load_kn,image_time_only,CatBoost,none,35,0.18590754819704305,0.6892428166762079,0.22123305494800347,0.5510254393847414,-10.26865458023012,-7.308060041164753,0.22072140237118515,0.7204109746931552,0.27187895725546185,0.7232987428558657,0.20428453520956608,-0.17476656853800135,8.0,8.0,7.0,10.0,7.75,False
ultimate_load_kn,all_cleaned,GradientBoosting,none,42,0.18436763085543445,0.7202023481814019,0.20859878219791256,0.4926408643361476,-11.880698268786997,-5.2660281350672244,0.225000712651182,0.7675507943503027,0.25178989677781555,0.7317799014654753,0.11334930200869357,-0.0842149779204637,6.0,6.0,11.0,8.0,8.450000000000001,False
ultimate_load_kn,image_time_only,XGBoost,none,35,0.18477446336746214,0.7228478242953618,0.22649984612036006,0.48198097708951043,-12.101841518070167,-7.062922572039476,0.22467632547739882,0.7732607155946332,0.2722101632477094,0.7172565861714542,0.04460752553661572,-0.10389060347223558,7.0,10.0,12.0,12.0,10.5,False
