sample_name,specimen_id,campaign_id,series_id,n_steel_mesh,week,ageing_days,ultimate_load_kn,terminal_ultimate_load_kn_target,predicted_ultimate_load_kn,predicted_ultimate_load_kn_std,prediction_count,is_measured_ultimate_load,residual,abs_error,feature_set_name,feature_set_label,model_name,feature_set_model_label
E06-20240918-36W,E06,campaign_2,E,4,36,252,1.87,1.87,1.7230477235079569,0.0483596178320774,2,True,-0.1469522764920432,0.1469522764920432,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
E06-20240918-36W,E06,campaign_2,E,4,36,252,1.87,1.87,1.865818303684706,0.0602868381606549,2,True,-0.004181696315294,0.004181696315294,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
E06-20240918-36W,E06,campaign_2,E,4,36,252,1.87,1.87,1.6700764358586413,0.0010855635611146,2,True,-0.1999235641413588,0.1999235641413588,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
E06-20240918-36W,E06,campaign_2,E,4,36,252,1.87,1.87,1.6910452396987232,0.0559695223634864,2,True,-0.1789547603012768,0.1789547603012768,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
E06-20240918-36W,E06,campaign_2,E,4,36,252,1.87,1.87,1.7539165691394234,0.0178066776875312,2,True,-0.1160834308605767,0.1160834308605767,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
E06-20240918-36W,E06,campaign_2,E,4,36,252,1.87,1.87,1.6864394833213467,0.0839854896220959,2,True,-0.1835605166786533,0.1835605166786533,metadata_only,metadata-only,Ridge,metadata-only | Ridge
F01-20240918-36W,F01,campaign_2,F,4,36,252,1.9,1.9,1.8438624352560136,0.0501326466092764,2,True,-0.0561375647439863,0.0561375647439863,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
F01-20240918-36W,F01,campaign_2,F,4,36,252,1.9,1.9,1.9619532304253084,0.0102570978462991,2,True,0.0619532304253085,0.0619532304253085,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
F01-20240918-36W,F01,campaign_2,F,4,36,252,1.9,1.9,2.031034621726028,0.0014241767264341,2,True,0.1310346217260281,0.1310346217260281,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
F01-20240918-36W,F01,campaign_2,F,4,36,252,1.9,1.9,1.8653525357279443,0.0196826370837428,2,True,-0.0346474642720555,0.0346474642720555,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
F01-20240918-36W,F01,campaign_2,F,4,36,252,1.9,1.9,1.837867351556432,0.0325373421004459,2,True,-0.0621326484435678,0.0621326484435678,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
F01-20240918-36W,F01,campaign_2,F,4,36,252,1.9,1.9,1.982530810872968,0.0975653724416541,2,True,0.0825308108729681,0.0825308108729681,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
F01-20240918-36W,F01,campaign_2,F,4,36,252,1.9,1.9,1.9268687208533404,0.0139703667059453,2,True,0.0268687208533404,0.0268687208533404,metadata_only,metadata-only,Ridge,metadata-only | Ridge
F02-20240918-36W,F02,campaign_2,F,4,36,252,1.71,1.71,1.712782277875179,0.0501647114888858,2,True,0.0027822778751787,0.0027822778751787,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
F02-20240918-36W,F02,campaign_2,F,4,36,252,1.71,1.71,1.7949249641679788,0.0061396211807924,2,True,0.0849249641679787,0.0849249641679787,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
F02-20240918-36W,F02,campaign_2,F,4,36,252,1.71,1.71,1.9231966957361877,0.0179609922868401,2,True,0.2131966957361875,0.2131966957361875,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
F02-20240918-36W,F02,campaign_2,F,4,36,252,1.71,1.71,1.8946827433847508,0.0941875141949692,2,True,0.1846827433847508,0.1846827433847508,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
F02-20240918-36W,F02,campaign_2,F,4,36,252,1.71,1.71,1.899792425774645,0.1034492346756547,2,True,0.189792425774645,0.189792425774645,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
F02-20240918-36W,F02,campaign_2,F,4,36,252,1.71,1.71,1.932746092805223,0.0853596567990296,2,True,0.2227460928052229,0.2227460928052229,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
F02-20240918-36W,F02,campaign_2,F,4,36,252,1.71,1.71,1.821195141466418,0.097979988386565,2,True,0.111195141466418,0.111195141466418,metadata_only,metadata-only,Ridge,metadata-only | Ridge
