specimen_id,family,criterion,rmse,fit_succeeded,params
G03,monotone_isotonic,-479.042939556472,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353, 0.06359310737932353]}"
G04,linear,-190.25247517561615,0.0043162547265477,True,"{""coeffs"": [3.990179957259404e-05, 0.2344548317808631]}"
G04,log_time,-184.95171435123808,0.0050009676726537,True,"{""coeffs"": [0.0012220476991646337, 0.2339425739121627]}"
G04,logistic,-187.46688530539092,0.0043037100654887,True,"{""params"": [129.47005368904365, 0.00016905432841338798, 37338.56119632974]}"
G04,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
G04,monotone_isotonic,-479.042939556472,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.23744139754304738, 0.2541350708166613, 0.2541350708166613]}"
G05,linear,-223.919784405536,0.001694156327553,True,"{""coeffs"": [1.5661699901740888e-05, 0.206886370830276]}"
G05,log_time,-218.6190250096322,0.0019629103385404,True,"{""coeffs"": [0.00047966118157426033, 0.20668530648987463]}"
G05,logistic,-221.07600981439717,0.0016919648874004,True,"{""params"": [41.971297136492886, 7.579045056525807e-05, 70030.63492967897]}"
G05,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
G05,monotone_isotonic,-479.042939556472,2.5337258102033824e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259785, 0.20805861612259788, 0.21461098478440213, 0.21461098478440213]}"
G06,linear,-196.7775432808295,0.0036007284081459,True,"{""coeffs"": [3.328708622628084e-05, 0.30308790348204084]}"
G06,log_time,-191.47678257011756,0.0041719331939305,True,"{""coeffs"": [0.0010194629708545936, 0.30266056506552413]}"
G06,logistic,-193.95480105350447,0.0035939704358957,True,"{""params"": [87.13506419114164, 0.00010960661755941046, 51618.745315458276]}"
G06,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
G06,monotone_isotonic,-479.042939556472,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.30557937186469913, 0.3195056545798729, 0.3195056545798729]}"
S1MI01,linear,-408.0811385196602,3.510833468576701e-17,True,"{""coeffs"": [3.7615524216079886e-19, 0.2091933511264291]}"
S1MI01,log_time,-408.0811385196602,1.2739375834279754e-16,True,"{""coeffs"": [5.048938134644276e-17, 0.20919335112642878]}"
S1MI01,logistic,-405.3730879486144,1.6219463551388482e-10,True,"{""params"": [0.41838670047093124, 2.612877203220481e-11, -250.4184545835663]}"
S1MI01,gompertz,-405.37308784825336,1.8287670368308049e-10,True,"{""params"": [0.20919335135911657, 3.1321032681885856e-09, 0.02101081973342608]}"
