specimen_id,best_family,criterion,best_model_name,last_observed_day,last_observed_predicted_wire_area_loss_frac,params
S1MI07,linear,-408.08113851966027,CatBoost,196.0,0.2578495296834533,"{""coeffs"": [4.123586929963887e-19, 0.25784952968345326]}"
S2SA01,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.29831641032548545,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.23983819152896305, 0.23983819152896305, 0.23983819152896305, 0.27646731293954196, 0.27646731293954196, 0.27646731293954196, 0.27646731293954196, 0.27646731293954196, 0.27646731293954196, 0.27646731293954196, 0.27646731293954196, 0.27646731293954196, 0.27646731293954196, 0.27646731293954196, 0.29831641032548545]}"
S2SA02,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.262921982306806,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.2622577053242687, 0.2622577053242687, 0.2622577053242687, 0.2622577053242687, 0.2622577053242687, 0.2622577053242687, 0.2622577053242687, 0.262921982306806, 0.262921982306806, 0.262921982306806, 0.262921982306806, 0.262921982306806, 0.262921982306806, 0.262921982306806, 0.262921982306806]}"
S2SA03,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.23028303945227754,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.20253154676638307, 0.20803031771651043, 0.2243419181189213, 0.2243419181189213, 0.23028303945227752, 0.23028303945227752, 0.23028303945227752, 0.23028303945227752, 0.23028303945227752, 0.23028303945227752, 0.23028303945227752, 0.23028303945227754, 0.23028303945227754, 0.23028303945227754, 0.23028303945227754]}"
S2SA04,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.26800253443291444,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.2203476280947744, 0.22888247513600335, 0.23504292612811994, 0.23504292612811994, 0.23504292612811994, 0.26800253443291444, 0.26800253443291444, 0.26800253443291444, 0.26800253443291444, 0.26800253443291444, 0.26800253443291444, 0.26800253443291444, 0.26800253443291444, 0.26800253443291444, 0.26800253443291444]}"
S2SA05,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.24806454809385428,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.2097269005849133, 0.23292433745136118, 0.23959718372871672, 0.24806454809385425, 0.24806454809385425, 0.24806454809385425, 0.24806454809385425, 0.24806454809385425, 0.24806454809385425, 0.24806454809385425, 0.24806454809385425, 0.24806454809385425, 0.24806454809385425, 0.24806454809385425, 0.24806454809385428]}"
S2SA06,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.25036668779560517,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.22019919307016778, 0.2228395471433747, 0.2228395471433747, 0.2228395471433747, 0.2228395471433747, 0.2228395471433747, 0.2477320043214505, 0.2477320043214505, 0.25036668779560517, 0.25036668779560517, 0.25036668779560517, 0.25036668779560517, 0.25036668779560517, 0.25036668779560517, 0.25036668779560517]}"
S2SA07,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.32377095704548947,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.26388774359335165, 0.32377095704548947]}"
S3PA01,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.2577065039607198,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.2333984575849081, 0.2333984575849081, 0.2577065039607199, 0.2577065039607199, 0.2577065039607199, 0.2577065039607199, 0.2577065039607199, 0.2577065039607199, 0.2577065039607199, 0.2577065039607199, 0.2577065039607199, 0.2577065039607199, 0.2577065039607199, 0.2577065039607199, 0.2577065039607199]}"
S3PA02,monotone_isotonic,-397.24893771525143,CatBoost,196.0,0.23138880366482728,"{""x"": [0.0, 14.0, 21.0, 28.0, 35.0, 42.0, 49.0, 56.0, 63.0, 70.0, 91.0, 105.0, 168.0, 175.0, 196.0], ""y"": [0.2038070831543778, 0.2038070831543778, 0.2145812012251001, 0.2145812012251001, 0.23138880366482725, 0.23138880366482725, 0.23138880366482725, 0.23138880366482725, 0.23138880366482725, 0.23138880366482725, 0.23138880366482725, 0.23138880366482725, 0.23138880366482725, 0.23138880366482728, 0.23138880366482728]}"
