feature,importance,importance_abs,importance_kind,direction,n_steel_mesh,split_name,repeat_id,fold_id,split_id
peak_rust_pct_mean,-0.016135038087791865,0.016135038087791865,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_area_ratio_pct_mean,0.013140840747300693,0.013140840747300693,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
surface_total_rust_pct_mean,0.01312406730250997,0.01312406730250997,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_area_ratio_pct_terminal,-0.010802923535007525,0.010802923535007525,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
surface_total_rust_pct_terminal,-0.010800951048289858,0.010800951048289858,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
surface_total_rust_pct_max,-0.007821523640124506,0.007821523640124506,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_area_ratio_pct_max,-0.007793018625553144,0.007793018625553144,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_rust_area_ratio_pct_slope,0.003356535674578441,0.003356535674578441,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
surface_total_rust_pct_slope,0.0033508000619045567,0.0033508000619045567,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
visible_corrosion_onset_week,0.002731341378617869,0.002731341378617869,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
weeks_after_onset_at_terminal,-0.002731341378617869,0.002731341378617869,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
has_visible_corrosion_onset,0.0,0.0,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_mean_mean,0.19206557333842367,0.19206557333842367,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_v_mean_max,0.11505366998353007,0.11505366998353007,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_v_mean_mean,0.08160116647043318,0.08160116647043318,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_s_mean_slope,-0.07915113970528675,0.07915113970528675,coefficient,negative,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_max_pct_max,-0.06458316911196535,0.06458316911196535,coefficient,negative,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_v_mean_slope,0.059324184532908435,0.059324184532908435,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_v_mean_terminal,0.057932678084464645,0.057932678084464645,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_max_pct_terminal,0.05598883597937292,0.05598883597937292,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
peak_rust_pct_max,-0.05494130994796212,0.05494130994796212,coefficient,negative,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
n_rows_post_onset,0.053783186797327714,0.053783186797327714,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
has_visible_corrosion_onset,0.038447573582650926,0.038447573582650926,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_area_ratio_pct_max,-0.03794946146048999,0.03794946146048999,coefficient,negative,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
surface_total_rust_pct_max,-0.03792706959030846,0.03792706959030846,coefficient,negative,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_max_pct_slope,0.03096279258470103,0.03096279258470103,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_s_mean_max,0.03076347692304046,0.03076347692304046,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
visible_corrosion_onset_week,-0.028757915653979286,0.028757915653979286,coefficient,negative,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
weeks_after_onset_at_terminal,0.028757915653979286,0.028757915653979286,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
peak_rust_pct_terminal,0.024743341232659175,0.024743341232659175,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_strip_rust_max_pct_mean,0.02379468254965611,0.02379468254965611,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
surface_total_rust_pct_mean,0.020368517942787538,0.020368517942787538,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_area_ratio_pct_mean,0.020368366932498674,0.020368366932498674,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
peak_rust_pct_mean,-0.01552030030424724,0.01552030030424724,coefficient,negative,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_s_mean_terminal,0.013323535099895568,0.013323535099895568,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_area_ratio_pct_terminal,0.011979300159678307,0.011979300159678307,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
surface_total_rust_pct_terminal,0.011955075645218504,0.011955075645218504,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
surface_total_rust_pct_slope,0.009069951266302915,0.009069951266302915,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_rust_area_ratio_pct_slope,0.009056379662730133,0.009056379662730133,coefficient,positive,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
peak_rust_pct_slope,-0.008794366621092254,0.008794366621092254,coefficient,negative,4,grouped_cv,0,2,grouped_cv_repeat0_fold2
img_hsv_v_mean_max,-0.11878302884203891,0.11878302884203891,coefficient,negative,7,grouped_cv,0,2,grouped_cv_repeat0_fold2
