specimen_id,campaign_id,treatment_code,current_week,current_corrosion_level,current_surface_total_rust_pct,current_peak_rust_pct,predicted_internal_damage_pct,predicted_ultimate_load_kn,health_index,rul_wire_20_weeks,rul_wire_25_weeks,rul_wire_30_weeks,rul_load_threshold_weeks,rul_health_threshold_weeks,estimated_rul_weeks,failure_probability,failure_probability_proxy,risk_class,reference_load_kn,load_threshold_kn
G03,campaign_2024_mesh4_nacl0.050_age260,PA,36.0,Trace,0.0,0.0,8.684105976190486,1.8172344940476213,0.7971521190714628,,,,0.0,,0.0,0.4856681833955771,0.4856681833955771,Moderate,2.39,1.9120000000000001
G04,campaign_2024_mesh4_nacl0.050_age260,PA,36.0,Trace,0.0,0.007,19.19455353769839,2.094849732142858,0.703031281498567,49.5,,,55.5,,55.5,0.1725105990520912,0.1725105990520912,Low,2.39,1.9120000000000001
G05,campaign_2024_mesh4_nacl0.050_age260,PA,36.0,Trace,0.052,0.664,21.325039492063475,2.1162872321428594,0.6966667679829146,,,,,,,0.18766691474965264,0.18766691474965264,Low,2.39,1.9120000000000001
G06,campaign_2024_mesh4_nacl0.050_age260,PA,36.0,Low,0.344,1.63,30.18096677380952,2.02665271825397,0.5709305565367724,0.0,0.0,2.5,18.5,,0.0,0.6530011132655862,0.6530011132655862,High,2.39,1.9120000000000001
S1MI01,campaign_2022_mesh7_nacl0.035_age201,NO,28.0,Moderate,5.111,14.561,20.136460569444427,2.3583526587301575,0.6558723388335366,,,,31.5,,31.5,0.18737846656674703,0.18737846656674703,Low,2.87,2.2960000000000003
S1MI02,campaign_2022_mesh7_nacl0.035_age201,MI,28.0,Moderate,8.318,21.973,19.330665988095245,2.4242667559523805,0.666743761501822,,,,6.5,,6.5,0.5100544091877237,0.5100544091877237,Moderate,2.87,2.2960000000000003
S1MI03,campaign_2022_mesh7_nacl0.035_age201,MI,28.0,High,12.772,28.272,18.625466990079385,2.483663333333334,0.6820209743101096,,,,,,,0.17186663378734612,0.17186663378734612,Low,2.87,2.2960000000000003
S1MI04,campaign_2022_mesh7_nacl0.035_age201,MI,28.0,Severe,32.041,54.235,22.62694435912699,2.374847271825397,0.5329808066624184,0.0,27.0,74.0,14.5,18.5,14.5,0.3523601933350585,0.3523601933350585,Moderate,2.87,2.2960000000000003
S1MI05,campaign_2022_mesh7_nacl0.035_age201,MI,28.0,Severe,34.269,71.764,32.66692389087304,2.3849336210317467,0.3996896766632013,0.0,0.0,0.0,15.0,6.0,0.0,0.6952602926937119,0.6952602926937119,High,2.87,2.2960000000000003
S1MI06,campaign_2022_mesh7_nacl0.035_age201,MI,28.0,High,6.321,26.814,21.155786565476184,2.4312119345238097,0.6503950142233597,,,,,,,0.1934793249696706,0.1934793249696706,Low,2.87,2.2960000000000003
S1MI07,campaign_2022_mesh7_nacl0.035_age201,MI,28.0,Low,2.019,8.656,23.769014355158742,2.3026153075396825,0.628970921176975,0.0,,,9.5,,9.5,0.48265343891760404,0.48265343891760404,Moderate,2.87,2.2960000000000003
S2SA01,campaign_2022_mesh7_nacl0.035_age201,NO,28.0,High,11.093,32.958,29.74052521626986,2.443259285714287,0.5644125448477016,0.0,0.0,25.5,,,0.0,0.6510425379686824,0.6510425379686824,High,2.87,2.2960000000000003
S2SA02,campaign_2022_mesh7_nacl0.035_age201,SA,28.0,High,3.601,36.674,10.729766577380959,2.6915804067460334,0.7808902341971382,,,,,,,0.10439824205296899,0.10439824205296899,Low,2.87,2.2960000000000003
S2SA03,campaign_2022_mesh7_nacl0.035_age201,SA,28.0,Severe,43.177,81.584,14.84451549801586,2.2969164583333317,0.5432183358441938,,,,0.5,,0.5,0.5530548710371435,0.5530548710371435,Moderate,2.87,2.2960000000000003
S2SA04,campaign_2022_mesh7_nacl0.035_age201,SA,28.0,High,13.995,34.585,19.112872331349223,2.3875888194444435,0.6185748889246288,,,,,,,0.18463291553696717,0.18463291553696717,Low,2.87,2.2960000000000003
S2SA05,campaign_2022_mesh7_nacl0.035_age201,SA,28.0,High,9.946,49.374,23.217584849206354,2.68522376984127,0.5818782530599392,0.0,,,,,,0.21750216103571815,0.21750216103571815,Low,2.87,2.2960000000000003
S2SA06,campaign_2022_mesh7_nacl0.035_age201,SA,28.0,High,20.888,36.508,16.50367527777778,2.4423963194444487,0.6838069386262604,,,,,,,0.1574534610579128,0.1574534610579128,Low,2.87,2.2960000000000003
S2SA07,campaign_2022_mesh7_nacl0.035_age201,SA,28.0,Severe,15.038,59.327,31.389088565476175,2.37955738095238,0.43586254968699445,0.0,0.0,0.0,2.0,4.0,0.0,0.6813154595708306,0.6813154595708306,High,2.87,2.2960000000000003
S3PA01,campaign_2022_mesh7_nacl0.035_age201,PA,28.0,Moderate,5.497,14.332,10.069260944444446,2.750725450937952,0.7509801748348726,,,,,,,0.10448138007106542,0.10448138007106542,Low,2.87,2.2960000000000003
S3PA02,campaign_2022_mesh7_nacl0.035_age201,SA_PA,28.0,Moderate,3.8,23.643,12.72841466468253,2.772216155303033,0.7487565195325053,,,,,,,0.1225426198346744,0.1225426198346744,Low,2.87,2.2960000000000003
S3PA03,campaign_2022_mesh7_nacl0.035_age201,SA_PA,28.0,High,8.862,35.346,14.260958363095229,2.6302473358585883,0.7390955030013262,,,,30.5,,30.5,0.1362238923722961,0.1362238923722961,Low,2.87,2.2960000000000003
S3PA04,campaign_2022_mesh7_nacl0.035_age201,SA_PA,28.0,Moderate,4.997,16.012,8.421713801587305,2.799140103715731,0.786783690260755,,,,,,,0.08812720513813545,0.08812720513813545,Low,2.87,2.2960000000000003
S4SAVF01,campaign_2022_mesh7_nacl0.035_age201,NO,28.0,High,5.602,26.472,19.12175961309523,2.5079079464285696,0.6854489989553036,,,,,,,0.1746610475773393,0.1746610475773393,Low,2.87,2.2960000000000003
S4SAVF02,campaign_2022_mesh7_nacl0.035_age201,SA_VF,28.0,High,5.426,28.881,14.520249680555551,2.45046721230159,0.6702407221877436,,,,,,,0.1462655562088755,0.1462655562088755,Low,2.87,2.2960000000000003
S4SAVF03,campaign_2022_mesh7_nacl0.035_age201,SA_VF,28.0,Severe,25.28,51.352,10.560683801587304,2.411286775793652,0.6919864026366942,,,,16.0,,16.0,0.21332506724470862,0.21332506724470862,Low,2.87,2.2960000000000003
S5VF01,campaign_2022_mesh7_nacl0.035_age201,NO,28.0,High,12.535,44.589,13.665726988095235,2.570714384920636,0.674029240484295,,,,,,,0.1400004605146573,0.1400004605146573,Low,2.87,2.2960000000000003
S5VF02,campaign_2022_mesh7_nacl0.035_age201,VF,28.0,High,23.149,43.329,40.278583557539726,2.4290969543650816,0.4571736696492008,0.0,0.0,0.0,97.5,9.0,0.0,0.7188582011399918,0.7188582011399918,High,2.87,2.2960000000000003
S5VF03,campaign_2022_mesh7_nacl0.035_age201,VF,28.0,High,6.583,28.244,22.61659431746033,2.435188581349203,0.6031970320228686,0.0,1.5,4.5,,11.5,1.5,0.5913273913752787,0.5913273913752787,Moderate,2.87,2.2960000000000003
